location,date,vaccine,total_vaccinations
Austria,5/7/2021,Johnson&Johnson,6440
Austria,5/7/2021,Moderna,347039
Austria,5/7/2021,Oxford/AstraZeneca,760715
Austria,5/7/2021,Pfizer/BioNTech,2589998
Austria,5/14/2021,Johnson&Johnson,13381
Austria,5/14/2021,Moderna,396693
Austria,5/14/2021,Oxford/AstraZeneca,824550
Austria,5/14/2021,Pfizer/BioNTech,2888231
Austria,5/21/2021,Johnson&Johnson,25599
Austria,5/21/2021,Moderna,464357
Austria,5/21/2021,Oxford/AstraZeneca,901834
Austria,5/21/2021,Pfizer/BioNTech,3264380
Austria,5/28/2021,Johnson&Johnson,37710
Austria,5/28/2021,Moderna,517659
Austria,5/28/2021,Oxford/AstraZeneca,984339
Austria,5/28/2021,Pfizer/BioNTech,3597877
Austria,6/4/2021,Johnson&Johnson,57286
Austria,6/4/2021,Moderna,572699
Austria,6/4/2021,Oxford/AstraZeneca,1052629
Austria,6/4/2021,Pfizer/BioNTech,4021122
Austria,6/11/2021,Johnson&Johnson,78718
Austria,6/11/2021,Moderna,635234
Austria,6/11/2021,Oxford/AstraZeneca,1147451
Austria,6/11/2021,Pfizer/BioNTech,4456949
Austria,6/18/2021,Johnson&Johnson,93484
Austria,6/18/2021,Moderna,684451
Austria,6/18/2021,Oxford/AstraZeneca,1199531
Austria,6/18/2021,Pfizer/BioNTech,4908377
Austria,6/25/2021,Johnson&Johnson,101926
Austria,6/25/2021,Moderna,739741
Austria,6/25/2021,Oxford/AstraZeneca,1272897
Austria,6/25/2021,Pfizer/BioNTech,5349392
Austria,7/2/2021,Johnson&Johnson,126986
Austria,7/2/2021,Moderna,799298
Austria,7/2/2021,Oxford/AstraZeneca,1380138
Austria,7/2/2021,Pfizer/BioNTech,5736975
Austria,7/9/2021,Johnson&Johnson,150720
Austria,7/9/2021,Moderna,849038
Austria,7/9/2021,Oxford/AstraZeneca,1447273
Austria,7/9/2021,Pfizer/BioNTech,6060105
Austria,7/16/2021,Johnson&Johnson,169337
Austria,7/16/2021,Moderna,892379
Austria,7/16/2021,Oxford/AstraZeneca,1498170
Austria,7/16/2021,Pfizer/BioNTech,6327489
Austria,7/20/2021,Johnson&Johnson,172086
Austria,7/20/2021,Moderna,902133
Austria,7/20/2021,Oxford/AstraZeneca,1506979
Austria,7/20/2021,Pfizer/BioNTech,6377214
Belgium,1/8/2021,Pfizer/BioNTech,27786
Belgium,1/15/2021,Moderna,13
Belgium,1/15/2021,Pfizer/BioNTech,126354
Belgium,1/22/2021,Moderna,4453
Belgium,1/22/2021,Pfizer/BioNTech,244476
Belgium,1/29/2021,Moderna,6131
Belgium,1/29/2021,Pfizer/BioNTech,334325
Belgium,2/5/2021,Moderna,15790
Belgium,2/5/2021,Oxford/AstraZeneca,0
Belgium,2/5/2021,Pfizer/BioNTech,463004
Belgium,2/12/2021,Moderna,25275
Belgium,2/12/2021,Oxford/AstraZeneca,322
Belgium,2/12/2021,Pfizer/BioNTech,598687
Belgium,2/19/2021,Moderna,30034
Belgium,2/19/2021,Oxford/AstraZeneca,10600
Belgium,2/19/2021,Pfizer/BioNTech,699518
Belgium,2/26/2021,Moderna,32454
Belgium,2/26/2021,Oxford/AstraZeneca,44960
Belgium,2/26/2021,Pfizer/BioNTech,787836
Belgium,3/5/2021,Moderna,51143
Belgium,3/5/2021,Oxford/AstraZeneca,109488
Belgium,3/5/2021,Pfizer/BioNTech,876269
Belgium,3/12/2021,Moderna,66939
Belgium,3/12/2021,Oxford/AstraZeneca,190137
Belgium,3/12/2021,Pfizer/BioNTech,972328
Belgium,3/19/2021,Moderna,89311
Belgium,3/19/2021,Oxford/AstraZeneca,349813
Belgium,3/19/2021,Pfizer/BioNTech,1082342
Belgium,3/26/2021,Moderna,99517
Belgium,3/26/2021,Oxford/AstraZeneca,460038
Belgium,3/26/2021,Pfizer/BioNTech,1278315
Belgium,4/2/2021,Moderna,127202
Belgium,4/2/2021,Oxford/AstraZeneca,519781
Belgium,4/2/2021,Pfizer/BioNTech,1536437
Belgium,4/9/2021,Moderna,174225
Belgium,4/9/2021,Oxford/AstraZeneca,599139
Belgium,4/9/2021,Pfizer/BioNTech,1853961
Belgium,4/16/2021,Johnson&Johnson,0
Belgium,4/16/2021,Moderna,208619
Belgium,4/16/2021,Oxford/AstraZeneca,779703
Belgium,4/16/2021,Pfizer/BioNTech,2130747
Belgium,4/23/2021,Moderna,259759
Belgium,4/23/2021,Oxford/AstraZeneca,836383
Belgium,4/23/2021,Pfizer/BioNTech,2447222
Belgium,4/30/2021,Johnson&Johnson,2918
Belgium,4/30/2021,Moderna,286690
Belgium,4/30/2021,Oxford/AstraZeneca,901564
Belgium,4/30/2021,Pfizer/BioNTech,2802639
Belgium,5/7/2021,Johnson&Johnson,23670
Belgium,5/7/2021,Moderna,344226
Belgium,5/7/2021,Oxford/AstraZeneca,1003911
Belgium,5/7/2021,Pfizer/BioNTech,3354279
Belgium,5/14/2021,Johnson&Johnson,29279
Belgium,5/14/2021,Moderna,398586
Belgium,5/14/2021,Oxford/AstraZeneca,1097171
Belgium,5/14/2021,Pfizer/BioNTech,3805401
Belgium,5/21/2021,Johnson&Johnson,49526
Belgium,5/21/2021,Moderna,500200
Belgium,5/21/2021,Oxford/AstraZeneca,1363628
Belgium,5/21/2021,Pfizer/BioNTech,4174091
Belgium,5/28/2021,Johnson&Johnson,73125
Belgium,5/28/2021,Moderna,574547
Belgium,5/28/2021,Oxford/AstraZeneca,1463147
Belgium,5/28/2021,Pfizer/BioNTech,4615646
Belgium,6/4/2021,Johnson&Johnson,96804
Belgium,6/4/2021,Moderna,650751
Belgium,6/4/2021,Oxford/AstraZeneca,1566158
Belgium,6/4/2021,Pfizer/BioNTech,5314351
Belgium,6/11/2021,Johnson&Johnson,142678
Belgium,6/11/2021,Moderna,737031
Belgium,6/11/2021,Oxford/AstraZeneca,1752814
Belgium,6/11/2021,Pfizer/BioNTech,6068473
Belgium,6/18/2021,Johnson&Johnson,211950
Belgium,6/18/2021,Moderna,843566
Belgium,6/18/2021,Oxford/AstraZeneca,1887370
Belgium,6/18/2021,Pfizer/BioNTech,6785361
Belgium,6/25/2021,Johnson&Johnson,244350
Belgium,6/25/2021,Moderna,956369
Belgium,6/25/2021,Oxford/AstraZeneca,1956146
Belgium,6/25/2021,Pfizer/BioNTech,7477119
Belgium,7/2/2021,Johnson&Johnson,269601
Belgium,7/2/2021,Moderna,1040093
Belgium,7/2/2021,Oxford/AstraZeneca,2055484
Belgium,7/2/2021,Pfizer/BioNTech,7986998
Belgium,7/9/2021,Johnson&Johnson,285139
Belgium,7/9/2021,Moderna,1101823
Belgium,7/9/2021,Oxford/AstraZeneca,2281890
Belgium,7/9/2021,Pfizer/BioNTech,8548002
Belgium,7/16/2021,Johnson&Johnson,303110
Belgium,7/16/2021,Moderna,1157068
Belgium,7/16/2021,Oxford/AstraZeneca,2433197
Belgium,7/16/2021,Pfizer/BioNTech,9106855
Belgium,7/20/2021,Johnson&Johnson,304136
Belgium,7/20/2021,Moderna,1176150
Belgium,7/20/2021,Oxford/AstraZeneca,2454109
Belgium,7/20/2021,Pfizer/BioNTech,9157325
Bulgaria,1/1/2021,Pfizer/BioNTech,0
Bulgaria,1/8/2021,Moderna,0
Bulgaria,1/8/2021,Pfizer/BioNTech,13473
Bulgaria,1/15/2021,Moderna,491
Bulgaria,1/15/2021,Pfizer/BioNTech,17962
Bulgaria,1/22/2021,Moderna,843
Bulgaria,1/22/2021,Pfizer/BioNTech,25300
Bulgaria,1/29/2021,Moderna,1053
Bulgaria,1/29/2021,Pfizer/BioNTech,40072
Bulgaria,2/5/2021,Moderna,2207
Bulgaria,2/5/2021,Oxford/AstraZeneca,10
Bulgaria,2/5/2021,Pfizer/BioNTech,54821
Bulgaria,2/12/2021,Moderna,3333
Bulgaria,2/12/2021,Oxford/AstraZeneca,2035
Bulgaria,2/12/2021,Pfizer/BioNTech,70020
Bulgaria,2/19/2021,Moderna,6446
Bulgaria,2/19/2021,Oxford/AstraZeneca,28947
Bulgaria,2/19/2021,Pfizer/BioNTech,83960
Bulgaria,2/26/2021,Moderna,10475
Bulgaria,2/26/2021,Oxford/AstraZeneca,97630
Bulgaria,2/26/2021,Pfizer/BioNTech,104340
Bulgaria,3/5/2021,Moderna,14820
Bulgaria,3/5/2021,Oxford/AstraZeneca,143932
Bulgaria,3/5/2021,Pfizer/BioNTech,129880
Bulgaria,3/12/2021,Moderna,16988
Bulgaria,3/12/2021,Oxford/AstraZeneca,174209
Bulgaria,3/12/2021,Pfizer/BioNTech,147683
Bulgaria,3/19/2021,Moderna,20921
Bulgaria,3/19/2021,Oxford/AstraZeneca,179029
Bulgaria,3/19/2021,Pfizer/BioNTech,168956
Bulgaria,3/26/2021,Moderna,34004
Bulgaria,3/26/2021,Oxford/AstraZeneca,206835
Bulgaria,3/26/2021,Pfizer/BioNTech,195704
Bulgaria,4/2/2021,Moderna,44809
Bulgaria,4/2/2021,Oxford/AstraZeneca,230180
Bulgaria,4/2/2021,Pfizer/BioNTech,228583
Bulgaria,4/9/2021,Moderna,59160
Bulgaria,4/9/2021,Oxford/AstraZeneca,238387
Bulgaria,4/9/2021,Pfizer/BioNTech,275118
Bulgaria,4/16/2021,Johnson&Johnson,0
Bulgaria,4/16/2021,Moderna,74318
Bulgaria,4/16/2021,Oxford/AstraZeneca,241707
Bulgaria,4/16/2021,Pfizer/BioNTech,322422
Bulgaria,4/23/2021,Johnson&Johnson,0
Bulgaria,4/23/2021,Moderna,93241
Bulgaria,4/23/2021,Oxford/AstraZeneca,247383
Bulgaria,4/23/2021,Pfizer/BioNTech,382650
Bulgaria,4/30/2021,Johnson&Johnson,0
Bulgaria,4/30/2021,Moderna,108865
Bulgaria,4/30/2021,Oxford/AstraZeneca,263756
Bulgaria,4/30/2021,Pfizer/BioNTech,452036
Bulgaria,5/7/2021,Johnson&Johnson,0
Bulgaria,5/7/2021,Moderna,122688
Bulgaria,5/7/2021,Oxford/AstraZeneca,300451
Bulgaria,5/7/2021,Pfizer/BioNTech,514960
Bulgaria,5/14/2021,Johnson&Johnson,398
Bulgaria,5/14/2021,Moderna,145571
Bulgaria,5/14/2021,Oxford/AstraZeneca,364379
Bulgaria,5/14/2021,Pfizer/BioNTech,606439
Bulgaria,5/21/2021,Johnson&Johnson,2629
Bulgaria,5/21/2021,Moderna,165767
Bulgaria,5/21/2021,Oxford/AstraZeneca,401422
Bulgaria,5/21/2021,Pfizer/BioNTech,690983
Bulgaria,5/28/2021,Johnson&Johnson,6276
Bulgaria,5/28/2021,Moderna,181502
Bulgaria,5/28/2021,Oxford/AstraZeneca,411232
Bulgaria,5/28/2021,Pfizer/BioNTech,754371
Bulgaria,6/4/2021,Johnson&Johnson,11142
Bulgaria,6/4/2021,Moderna,190457
Bulgaria,6/4/2021,Oxford/AstraZeneca,435357
Bulgaria,6/4/2021,Pfizer/BioNTech,827459
Bulgaria,6/11/2021,Johnson&Johnson,17987
Bulgaria,6/11/2021,Moderna,202784
Bulgaria,6/11/2021,Oxford/AstraZeneca,457900
Bulgaria,6/11/2021,Pfizer/BioNTech,898271
Bulgaria,6/18/2021,Johnson&Johnson,25928
Bulgaria,6/18/2021,Moderna,216421
Bulgaria,6/18/2021,Oxford/AstraZeneca,467870
Bulgaria,6/18/2021,Pfizer/BioNTech,949706
Bulgaria,6/25/2021,Johnson&Johnson,33099
Bulgaria,6/25/2021,Moderna,225728
Bulgaria,6/25/2021,Oxford/AstraZeneca,470990
Bulgaria,6/25/2021,Pfizer/BioNTech,997114
Bulgaria,7/2/2021,Johnson&Johnson,39994
Bulgaria,7/2/2021,Moderna,234047
Bulgaria,7/2/2021,Oxford/AstraZeneca,472860
Bulgaria,7/2/2021,Pfizer/BioNTech,1042927
Bulgaria,7/9/2021,Johnson&Johnson,48424
Bulgaria,7/9/2021,Moderna,241862
Bulgaria,7/9/2021,Oxford/AstraZeneca,474021
Bulgaria,7/9/2021,Pfizer/BioNTech,1086383
Bulgaria,7/16/2021,Johnson&Johnson,58430
Bulgaria,7/16/2021,Moderna,247955
Bulgaria,7/16/2021,Oxford/AstraZeneca,474812
Bulgaria,7/16/2021,Pfizer/BioNTech,1127926
Bulgaria,7/20/2021,Johnson&Johnson,59956
Bulgaria,7/20/2021,Moderna,247955
Bulgaria,7/20/2021,Oxford/AstraZeneca,474812
Bulgaria,7/20/2021,Pfizer/BioNTech,1127926
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5197
Chile,12/26/2020,Pfizer/BioNTech,8340
Chile,12/27/2020,Pfizer/BioNTech,8651
Chile,12/28/2020,Pfizer/BioNTech,8651
Chile,12/29/2020,Pfizer/BioNTech,8651
Chile,12/30/2020,Pfizer/BioNTech,8651
Chile,12/31/2020,Pfizer/BioNTech,8651
Chile,1/1/2021,Pfizer/BioNTech,8651
Chile,1/2/2021,Pfizer/BioNTech,8651
Chile,1/3/2021,Pfizer/BioNTech,8651
Chile,1/4/2021,Pfizer/BioNTech,9056
Chile,1/5/2021,Pfizer/BioNTech,10499
Chile,1/6/2021,Pfizer/BioNTech,10704
Chile,1/7/2021,Pfizer/BioNTech,10704
Chile,1/8/2021,Pfizer/BioNTech,10704
Chile,1/9/2021,Pfizer/BioNTech,10704
Chile,1/10/2021,Pfizer/BioNTech,10704
Chile,1/11/2021,Pfizer/BioNTech,10704
Chile,1/12/2021,Pfizer/BioNTech,10704
Chile,1/13/2021,Pfizer/BioNTech,11737
Chile,1/14/2021,Pfizer/BioNTech,18651
Chile,1/15/2021,Pfizer/BioNTech,22082
Chile,1/16/2021,Pfizer/BioNTech,22172
Chile,1/17/2021,Pfizer/BioNTech,22172
Chile,1/18/2021,Pfizer/BioNTech,33223
Chile,1/19/2021,Pfizer/BioNTech,52584
Chile,1/20/2021,Pfizer/BioNTech,61892
Chile,1/21/2021,Pfizer/BioNTech,64949
Chile,1/22/2021,Pfizer/BioNTech,65361
Chile,1/23/2021,Pfizer/BioNTech,65361
Chile,1/24/2021,Pfizer/BioNTech,65361
Chile,1/25/2021,Pfizer/BioNTech,66781
Chile,1/26/2021,Pfizer/BioNTech,67397
Chile,1/27/2021,Pfizer/BioNTech,67432
Chile,1/28/2021,Pfizer/BioNTech,67432
Chile,1/29/2021,Pfizer/BioNTech,67437
Chile,1/30/2021,Pfizer/BioNTech,67438
Chile,1/31/2021,Pfizer/BioNTech,67438
Chile,2/1/2021,Pfizer/BioNTech,67438
Chile,2/2/2021,Pfizer/BioNTech,67444
Chile,2/2/2021,Sinovac,13182
Chile,2/3/2021,Pfizer/BioNTech,67444
Chile,2/3/2021,Sinovac,183546
Chile,2/4/2021,Pfizer/BioNTech,69572
Chile,2/4/2021,Sinovac,357553
Chile,2/5/2021,Pfizer/BioNTech,70260
Chile,2/5/2021,Sinovac,526253
Chile,2/6/2021,Pfizer/BioNTech,70265
Chile,2/6/2021,Sinovac,554103
Chile,2/7/2021,Pfizer/BioNTech,70267
Chile,2/7/2021,Sinovac,562737
Chile,2/8/2021,Pfizer/BioNTech,82065
Chile,2/8/2021,Sinovac,784197
Chile,2/9/2021,Pfizer/BioNTech,101543
Chile,2/9/2021,Sinovac,1026578
Chile,2/10/2021,Pfizer/BioNTech,109987
Chile,2/10/2021,Sinovac,1298903
Chile,2/11/2021,Pfizer/BioNTech,113059
Chile,2/11/2021,Sinovac,1550073
Chile,2/12/2021,Pfizer/BioNTech,113419
Chile,2/12/2021,Sinovac,1779164
Chile,2/13/2021,Pfizer/BioNTech,113452
Chile,2/13/2021,Sinovac,1808685
Chile,2/14/2021,Pfizer/BioNTech,113452
Chile,2/14/2021,Sinovac,1813152
Chile,2/15/2021,Pfizer/BioNTech,113453
Chile,2/15/2021,Sinovac,2079021
Chile,2/16/2021,Pfizer/BioNTech,113465
Chile,2/16/2021,Sinovac,2299053
Chile,2/17/2021,Pfizer/BioNTech,113465
Chile,2/17/2021,Sinovac,2487093
Chile,2/18/2021,Pfizer/BioNTech,113468
Chile,2/18/2021,Sinovac,2642350
Chile,2/19/2021,Pfizer/BioNTech,113468
Chile,2/19/2021,Sinovac,2784472
Chile,2/20/2021,Pfizer/BioNTech,113470
Chile,2/20/2021,Sinovac,2794111
Chile,2/21/2021,Pfizer/BioNTech,113470
Chile,2/21/2021,Sinovac,2795273
Chile,2/22/2021,Pfizer/BioNTech,125565
Chile,2/22/2021,Sinovac,2891308
Chile,2/23/2021,Pfizer/BioNTech,150412
Chile,2/23/2021,Sinovac,2960710
Chile,2/24/2021,Pfizer/BioNTech,178933
Chile,2/24/2021,Sinovac,3018466
Chile,2/25/2021,Pfizer/BioNTech,212650
Chile,2/25/2021,Sinovac,3070828
Chile,2/26/2021,Pfizer/BioNTech,242382
Chile,2/26/2021,Sinovac,3119487
Chile,2/27/2021,Pfizer/BioNTech,248707
Chile,2/27/2021,Sinovac,3123209
Chile,2/28/2021,Pfizer/BioNTech,248709
Chile,2/28/2021,Sinovac,3123562
Chile,3/1/2021,Pfizer/BioNTech,263612
Chile,3/1/2021,Sinovac,3246221
Chile,3/2/2021,Pfizer/BioNTech,294535
Chile,3/2/2021,Sinovac,3386669
Chile,3/3/2021,Pfizer/BioNTech,313103
Chile,3/3/2021,Sinovac,3680006
Chile,3/4/2021,Pfizer/BioNTech,322211
Chile,3/4/2021,Sinovac,3981446
Chile,3/5/2021,Pfizer/BioNTech,327967
Chile,3/5/2021,Sinovac,4273508
Chile,3/6/2021,Pfizer/BioNTech,328311
Chile,3/6/2021,Sinovac,4306944
Chile,3/7/2021,Pfizer/BioNTech,328417
Chile,3/7/2021,Sinovac,4314797
Chile,3/8/2021,Pfizer/BioNTech,341016
Chile,3/8/2021,Sinovac,4652811
Chile,3/9/2021,Pfizer/BioNTech,378600
Chile,3/9/2021,Sinovac,4991767
Chile,3/10/2021,Pfizer/BioNTech,420213
Chile,3/10/2021,Sinovac,5351500
Chile,3/11/2021,Pfizer/BioNTech,465957
Chile,3/11/2021,Sinovac,5722806
Chile,3/12/2021,Pfizer/BioNTech,483368
Chile,3/12/2021,Sinovac,6079732
Chile,3/13/2021,Pfizer/BioNTech,483921
Chile,3/13/2021,Sinovac,6129630
Chile,3/14/2021,Pfizer/BioNTech,483921
Chile,3/14/2021,Sinovac,6136214
Chile,3/15/2021,Pfizer/BioNTech,507833
Chile,3/15/2021,Sinovac,6542569
Chile,3/16/2021,Pfizer/BioNTech,561366
Chile,3/16/2021,Sinovac,6899232
Chile,3/17/2021,Pfizer/BioNTech,616897
Chile,3/17/2021,Sinovac,7211010
Chile,3/18/2021,Pfizer/BioNTech,666495
Chile,3/18/2021,Sinovac,7496330
Chile,3/19/2021,Pfizer/BioNTech,689666
Chile,3/19/2021,Sinovac,7767698
Chile,3/20/2021,Pfizer/BioNTech,691586
Chile,3/20/2021,Sinovac,7799970
Chile,3/21/2021,Pfizer/BioNTech,691596
Chile,3/21/2021,Sinovac,7803984
Chile,3/22/2021,Pfizer/BioNTech,727685
Chile,3/22/2021,Sinovac,8036637
Chile,3/23/2021,Pfizer/BioNTech,787607
Chile,3/23/2021,Sinovac,8217567
Chile,3/24/2021,Pfizer/BioNTech,840511
Chile,3/24/2021,Sinovac,8383750
Chile,3/25/2021,Pfizer/BioNTech,895109
Chile,3/25/2021,Sinovac,8541835
Chile,3/26/2021,Pfizer/BioNTech,933543
Chile,3/26/2021,Sinovac,8721075
Chile,3/27/2021,Pfizer/BioNTech,935578
Chile,3/27/2021,Sinovac,8734729
Chile,3/28/2021,Pfizer/BioNTech,935578
Chile,3/28/2021,Sinovac,8736122
Chile,3/29/2021,Pfizer/BioNTech,957626
Chile,3/29/2021,Sinovac,8980826
Chile,3/30/2021,Pfizer/BioNTech,1015117
Chile,3/30/2021,Sinovac,9201969
Chile,3/31/2021,Pfizer/BioNTech,1061289
Chile,3/31/2021,Sinovac,9436090
Chile,4/1/2021,Pfizer/BioNTech,1085081
Chile,4/1/2021,Sinovac,9715608
Chile,4/2/2021,Pfizer/BioNTech,1085306
Chile,4/2/2021,Sinovac,9722413
Chile,4/3/2021,Pfizer/BioNTech,1085499
Chile,4/3/2021,Sinovac,9725445
Chile,4/4/2021,Pfizer/BioNTech,1085501
Chile,4/4/2021,Sinovac,9726561
Chile,4/5/2021,Pfizer/BioNTech,1116646
Chile,4/5/2021,Sinovac,9980159
Chile,4/6/2021,Pfizer/BioNTech,1199432
Chile,4/6/2021,Sinovac,10137161
Chile,4/7/2021,Pfizer/BioNTech,1288715
Chile,4/7/2021,Sinovac,10281151
Chile,4/8/2021,Pfizer/BioNTech,1366983
Chile,4/8/2021,Sinovac,10442398
Chile,4/9/2021,Pfizer/BioNTech,1416234
Chile,4/9/2021,Sinovac,10612085
Chile,4/10/2021,Pfizer/BioNTech,1424064
Chile,4/10/2021,Sinovac,10630282
Chile,4/11/2021,Pfizer/BioNTech,1424570
Chile,4/11/2021,Sinovac,10632229
Chile,4/12/2021,Pfizer/BioNTech,1489351
Chile,4/12/2021,Sinovac,10804412
Chile,4/13/2021,Pfizer/BioNTech,1577566
Chile,4/13/2021,Sinovac,10951487
Chile,4/14/2021,Pfizer/BioNTech,1667078
Chile,4/14/2021,Sinovac,11091430
Chile,4/15/2021,Pfizer/BioNTech,1735090
Chile,4/15/2021,Sinovac,11230570
Chile,4/16/2021,Pfizer/BioNTech,1785836
Chile,4/16/2021,Sinovac,11373955
Chile,4/17/2021,Pfizer/BioNTech,1791764
Chile,4/17/2021,Sinovac,11390353
Chile,4/18/2021,Pfizer/BioNTech,1792441
Chile,4/18/2021,Sinovac,11392314
Chile,4/19/2021,Pfizer/BioNTech,1816494
Chile,4/19/2021,Sinovac,11563178
Chile,4/20/2021,Pfizer/BioNTech,1860945
Chile,4/20/2021,Sinovac,11708001
Chile,4/21/2021,Pfizer/BioNTech,1907008
Chile,4/21/2021,Sinovac,11839480
Chile,4/22/2021,Pfizer/BioNTech,1954116
Chile,4/22/2021,Sinovac,11993052
Chile,4/23/2021,Pfizer/BioNTech,1983096
Chile,4/23/2021,Sinovac,12147680
Chile,4/24/2021,Pfizer/BioNTech,1985491
Chile,4/24/2021,Sinovac,12162964
Chile,4/25/2021,Pfizer/BioNTech,1985492
Chile,4/25/2021,Sinovac,12164004
Chile,4/26/2021,Pfizer/BioNTech,2030860
Chile,4/26/2021,Sinovac,12315294
Chile,4/27/2021,Pfizer/BioNTech,2094715
Chile,4/27/2021,Sinovac,12422917
Chile,4/28/2021,Oxford/AstraZeneca,2170
Chile,4/28/2021,Pfizer/BioNTech,2151008
Chile,4/28/2021,Sinovac,12533578
Chile,4/29/2021,Oxford/AstraZeneca,6106
Chile,4/29/2021,Pfizer/BioNTech,2186176
Chile,4/29/2021,Sinovac,12649843
Chile,4/30/2021,Oxford/AstraZeneca,18034
Chile,4/30/2021,Pfizer/BioNTech,2219015
Chile,4/30/2021,Sinovac,12692921
Chile,5/1/2021,Oxford/AstraZeneca,18237
Chile,5/1/2021,Pfizer/BioNTech,2220274
Chile,5/1/2021,Sinovac,12693757
Chile,5/2/2021,Oxford/AstraZeneca,18354
Chile,5/2/2021,Pfizer/BioNTech,2220731
Chile,5/2/2021,Sinovac,12694648
Chile,5/3/2021,Oxford/AstraZeneca,33574
Chile,5/3/2021,Pfizer/BioNTech,2249497
Chile,5/3/2021,Sinovac,12802451
Chile,5/4/2021,Oxford/AstraZeneca,47112
Chile,5/4/2021,Pfizer/BioNTech,2298879
Chile,5/4/2021,Sinovac,12909164
Chile,5/5/2021,Oxford/AstraZeneca,55697
Chile,5/5/2021,Pfizer/BioNTech,2348639
Chile,5/5/2021,Sinovac,13025873
Chile,5/6/2021,Oxford/AstraZeneca,62608
Chile,5/6/2021,Pfizer/BioNTech,2389805
Chile,5/6/2021,Sinovac,13135992
Chile,5/7/2021,Oxford/AstraZeneca,66589
Chile,5/7/2021,Pfizer/BioNTech,2423966
Chile,5/7/2021,Sinovac,13245784
Chile,5/8/2021,Oxford/AstraZeneca,67218
Chile,5/8/2021,Pfizer/BioNTech,2429745
Chile,5/8/2021,Sinovac,13264965
Chile,5/9/2021,Oxford/AstraZeneca,67285
Chile,5/9/2021,Pfizer/BioNTech,2429813
Chile,5/9/2021,Sinovac,13266234
Chile,5/10/2021,Oxford/AstraZeneca,70151
Chile,5/10/2021,Pfizer/BioNTech,2469387
Chile,5/10/2021,Sinovac,13397457
Chile,5/11/2021,Oxford/AstraZeneca,72095
Chile,5/11/2021,Pfizer/BioNTech,2535567
